experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.512877,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.536437,5386,fold-mean; F1=0.446; mae_h=5.8762
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.446419,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.51397,5386,fold-mean; F1=0.427; mae_h=7.5260
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.426768,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.50509,5386,fold-mean; F1=0.425; mae_h=7.7902
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.424786,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.475895,5386,fold-mean; F1=0.401; mae_h=8.4275
X3,LOMO,knn-k10-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.401011,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.460808,5386,fold-mean; F1=0.388; mae_h=10.2387
X3,LOMO,knn-k10-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.388196,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.521302,5386,fold-mean; F1=0.437; mae_h=5.2374
X3,LOMO,knn-k10-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.437307,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.499084,5386,fold-mean; F1=0.416; mae_h=7.0857
X3,LOMO,knn-k10-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.416097,5386,macro; mean of two LOMO folds
