estimator,dew,dmin,acc,f1,acc_14,acc_16,mae_healthy,n
global-mean,TTdew,0.25,0.3280761857525788,0.29614303759393945,0.31528925619834713,0.3408631153068105,38.62186730683867,5386
global-mean,TTdew,0.5,0.3280761857525788,0.29604777892863976,0.31528925619834713,0.3408631153068105,38.68416976600194,5386
global-mean,TTdew,1.0,0.32640685342977993,0.2948595387656566,0.31363636363636366,0.3391773432231962,38.83340696143466,5386
global-mean,TTdew,2.0,0.3242698238437833,0.293583667578872,0.31239669421487604,0.3361429534726905,39.26958925732723,5386
lin,TT,0.0,0.45957602135497067,0.3685342869124437,0.4033057851239669,0.5158462575859744,6.449847467757984,5386
lin,TT,0.1,0.4588852727607095,0.36761224315960694,0.4049586776859504,0.5128118678354686,6.553349180277632,5386
lin,TT,0.25,0.45984226188817623,0.3693661377826174,0.406198347107438,0.5134861766689144,6.615915652027636,5386
lin,TT,0.5,0.4595647364344109,0.37106898277990097,0.4086776859504132,0.5104517869184086,6.648092794215438,5386
lin,TT,1.0,0.45997795957490684,0.37088539399426546,0.40950413223140497,0.5104517869184086,6.7524097008861315,5386
lin,TT,2.0,0.46115800003343677,0.37391059668468835,0.40950413223140497,0.5128118678354686,7.000080030587908,5386
poly2,TT,0.0,0.4602564602687204,0.37391422551869846,0.3942148760330578,0.526298044504383,5.524517646605076,5386
